mt_main_poi_id	mt_poi_cate3_name	poi_name	brand_name
4222574	其他火锅	OPPA神起年糕火锅（SOHO现代城店）	oppa神起 
4222994	其他火锅	街坊小厨（香雪路店）	街坊小厨 
4223249	其他西餐	桂三秋	桂三秋 
4223494	其他火锅	禧福祥羊蝎子（中央路店）	禧福祥羊蝎子火锅 
4224009	其他火锅	泰豪火锅（银川商城店）	泰豪火锅 
6728219	其他西餐	佳客来（北大街店）	佳客来 
4225979	其他自助餐	上爵咖啡（望江店）	上爵咖啡 
5318184	其他烧烤	方燕烤猪蹄（小河沿店）	方燕烤猪蹄 
5697553	其他烧烤	上水埠百味涮肚	上水埠百味涮肚 
4228969	其他火锅	重庆鸡公煲	重庆鸡公煲 
4229864	其他日本菜	味千拉面（佛山石龙南路店）	味千拉面 
4230094	其他火锅	知味轩火锅	知味轩火锅 
4230269	其他火锅	阿二骨煲	阿二骨煲 
4230704	其他烧烤	阿兵龙虾烧烤（八一大院店）	阿兵龙虾烧烤 
2158797	其他西餐	爱琴海咖啡	爱琴海咖啡 
4231169	其他日本菜	文成鱼跃寿司屋（陵东街店）	文成鱼跃寿司 
4231329	其他自助餐	尚景宫韩式自助（文冲店）	尚景宫自助餐 
5956691	其他烧烤	犇丼铁板烧	犇丼铁板烧 
4231724	其他火锅	食里香老火锅	食里香老火锅 
4232499	其他西餐	萨米特白银壹号餐厅	萨米特意大利卷筒披萨 
4232669	其他西餐	豪客来牛排（金汇沃尔玛-1306）	豪客来 
4233164	其他火锅	郭场火锅鸡（康泰店）	郭场火锅鸡 
6041491	其他火锅	小尾羊	小尾羊 
1216323	其他火锅	香溢锅	香溢锅 
4234679	其他烧烤	华宇兄弟电器维修（旧宫店）	华宇兄弟电器维修 
4235124	其他烧烤	姚氏秘制烤肉（白石洲店）	姚氏秘制烤肉 
4235459	其他火锅	金权道韩式自助烧烤火锅	金权道 
4235574	其他火锅	德胜记（凤凰路店）	德胜记 
4235619	其他火锅	咪咕咪咕麻辣香锅	咪咕咪咕麻辣香锅 
6159018	其他西餐	我家牛排	我家牛排 
4236794	其他火锅	皇城根	皇城根 
4238414	其他西餐	豪亨世家（东里店）	豪亨世家 
5256373	其他火锅	锦唐印象火锅（交大时光店）	锦唐印象 
4240764	其他西餐	斯塔克（三门店）	斯塔克 
4242449	其他火锅	一食三客	一食三客 
18908	其他西餐	纳米奇比萨	纳奇比萨 
4243074	其他日本菜	鱼旨寿司（和平广场店）	鱼旨寿司 
4243109	其他西餐	尊品语茶（永和店）	尊品语茶 
4243354	其他火锅	沈家洪城老火锅	沈家洪城老火锅 
4243519	其他火锅	田源鸡火锅（城关北大街店）	田源鸡火锅 
4243624	其他西餐	豪客嘉族（鹿鹤转盘店三店）	豪客嘉族 
4244339	其他火锅	汤岛涮（永利广场店）	汤岛涮 
4244999	其他火锅	大队长主题火锅（忠县店）	重庆大队长 
4245284	其他西餐	塞纳左岸咖啡西餐厅	塞纳左岸 
4246164	其他火锅	重庆德庄火锅（同仁路店）	重庆德庄火锅 
4247259	其他火锅	小刚时尚火锅	小刚火锅 
4247274	其他烧烤	木屋烧烤（牡丹园店）	木屋烧烤 
2736898	其他火锅	湘鹅庄	湘鹅庄汤锅料理 
4247819	其他烧烤	张姐烤肉拌饭（交大店）	张姐烤肉拌饭 
4248229	其他火锅	美羊排香辣虾（清真店）	美羊排香辣虾 
4249224	其他火锅	缘生泰火锅（恒山东路店）	缘生泰火锅 
4249484	其他火锅	德庄火锅（万州万达店）	德庄火锅 
4249984	其他火锅	一闻香迷宗蟹	一闻香迷宗蟹 
4250354	其他火锅	李想大虾火锅花园（六灌路店）	李想大虾 
5558267	其他火锅	北京麻辣香锅	北京麻辣香锅 
4250489	其他火锅	奇火锅	奇火锅 
4250514	其他火锅	成渝火锅	成渝火锅 
4250759	其他自助餐	权罗道韩式自助烤肉·火锅	权罗道韩式自助烧烤 
4251074	其他烧烤	爆烤鸡头王（洮安东路店）	爆烤鸡头王 
4251409	其他西餐	西焗士	西焗士 
4252214	其他火锅	奇火锅（东一环店）	奇火锅 
4252554	其他烧烤	草原狼炭烤羊腿	草原狼炭烤羊腿 
4253154	其他火锅	干锅轩（荡口古镇店）	干锅轩 
4253714	其他烧烤	味道门炭火烧肉（环市东路店）	味道门 
4253734	其他烧烤	烤尚宫	烤尚宫 
4255144	其他火锅	牛行肥牛	牛行肥牛 
4255189	其他火锅	乡村大锅台	乡村大锅台 
4613261	其他烧烤	金诺郎韩式烤肉店（泉港店）	金诺郎 
4256324	其他火锅	至尊肥牛火锅（拜泉店）	至尊肥牛 
4256409	其他西餐	佐客牛排（解放路店）	佐客牛排 
4256414	其他烧烤	蹄滋冠烤猪蹄	蹄滋冠烤猪蹄 
4257434	其他烧烤	东北烧烤（紫薇中路店）	东北烧烤 
4257749	其他烧烤	方燕烤猪蹄（国贸店）	方燕烤猪蹄 
4258769	其他火锅	汤岛涮（舟山淘味城店）	汤岛涮 
4259089	其他火锅	一品皇牛	一品皇牛 
4259634	其他火锅	大铁锅	大铁锅 
4260144	其他西餐	爵士岛咖啡（宁波创新128广场店）	爵士岛咖啡 
4260349	其他火锅	小天鹅火锅（西夏万达店）	小天鹅火锅 
4260994	其他火锅	姥家大锅台	姥家大锅台 
4261389	其他火锅	重庆小天鹅（神力广场）	重庆小天鹅 
775058	其他火锅	李雪牛杂火锅（外双楠店）	李雪牛杂火锅 
4262344	其他火锅	洪焱火锅（万福花园店）	洪焱火锅 
4262929	其他火锅	永和时尚火锅	永和时尚火锅 
4262934	其他火锅	四季食家（华邦银泰城店）	四季食家海鲜自助火锅 
4262999	其他日本菜	大杜满腹日本料理（芍药居店）	大杜满腹日本料理 
5864654	其他烧烤	五环音乐广场（f区）	白沙湾五环音乐广场 
4264924	其他火锅	七里香迷踪蟹	七里香迷踪蟹 
4265139	其他西餐	豪享来（郑州京广店）	豪享来 
6699420	其他火锅	屋头串串香川味火锅	屋头串串香 
4265519	其他火锅	两头牛筋头巴脑一锅香（温州路）	两头牛筋头巴脑一锅香 
4265824	其他西餐	东街故事（解放路店）	东街故事 
3263623	其他火锅	蜀骄火锅自助	蜀骄火锅 
4267759	其他自助餐	阪尚皇（东方汇店）	阪尚皇 
2274609	其他火锅	悦来悦香	悦来悦香 
8227	其他火锅	木兰草原	木兰草原 
4269339	其他火锅	彤德莱（牡丹江路店）	彤德莱火锅 
4269574	其他火锅	王的盛筵	王的盛筵 
4269864	其他火锅	恩来顺（晋祠路店）	恩来顺 
4269869	其他火锅	福润肥牛（昌源路店）	福润肥牛 
4270059	其他烧烤	碳烤羊腿	碳烤羊腿 
4270149	其他火锅	正宗简阳羊肉汤锅	简阳羊肉汤 
4270599	其他火锅	巴蜀崽火锅	巴蜀崽火锅 
4270814	其他火锅	小肥羊（长沙县店）	小肥羊 
4270909	其他烧烤	韩式佳圆自助烧肉店（河南北路店）	韩式佳圆自助烧肉店 
4270979	其他火锅	川府火锅城	川府火锅 
4271014	其他烧烤	老羊倌烧烤（七彩桥店）	老羊倌烧烤 
4271134	其他火锅	聚友饭店	聚友饭店 
4272254	其他西餐	犇客来（永盛店）	犇客来 
4273534	其他西餐	快乐星汉堡（南门小学店）	快乐星汉堡 
4273899	其他日本菜	元气寿司（IFS店）	元气寿司 
4274124	其他火锅	杨翔豆皮涮牛肚（维多利摩尔城店）	杨翔豆皮涮牛肚 
4274429	其他火锅	一品布衣汤烤锅王	一品布衣汤烤锅王 
4274984	其他西餐	爱尚西厨（上街店）	爱尚西厨 
4275244	其他日本菜	佰利挪威三文鱼（阳光嘉园店）	佰利挪威三文鱼 
4276019	其他火锅	御膳煌厨（友好店）	御膳煌厨 
4276149	其他火锅	喜相逢菜馆（横江四路店）	喜相逢菜馆 
4276209	其他火锅	小肥羊	小肥羊 
4277214	其他烧烤	碳烤羊腿	碳烤羊腿 
4277569	其他火锅	八佰宴	八佰宴自助健康火锅 
4322193	其他烧烤	牛太郎自助烤肉店（漳平店）	牛太郎自助烤肉 
65074461	其他火锅	川香汇	川香汇 
4278759	其他火锅	一品布衣汤烤锅王	一品布衣汤烤锅王 
4279004	其他火锅	川锦烧鸡公	川锦烧鸡公 
4279249	其他烧烤	光辉岁月	光辉岁月 
4279294	其他西餐	豪享来（福州长乐店）	豪享来 
4280229	其他火锅	贵州花江狗肉店	贵州花江狗肉 
4280559	其他烧烤	姚氏秘制烤肉（南山创业店）	姚氏秘制烤肉 
4281059	其他火锅	鼎尚鲜斑鱼庄（南山路店）	鼎尚鲜斑鱼庄 
4281569	其他火锅	季季红火锅店	季季红火锅 
4282819	其他烧烤	小竹签烤肉（民新路第38店）	小竹签烤肉 
6203789	其他火锅	驼峰野菌王火锅	野菌王火锅 
4283239	其他烧烤	瑞余烤鱼堂（日韵东方店）	瑞余烤鱼堂 
4284174	其他火锅	和福顺养生焖锅	和福顺养生焖锅 
4284389	其他火锅	干锅轩	干锅轩 
4284964	其他自助餐	欢乐牧场	欢乐牧场 
4285074	其他自助餐	海吃海喝（劳动路店）	海吃海喝 
4285229	其他火锅	王老实筋头巴脑锅里壮（坊子店）	王老实筋头巴脑 
4285504	其他火锅	筋头巴脑牛一锅	牛一锅筋头巴脑 
4285949	其他火锅	苏州藏书羊肉	苏州藏书羊肉 
4286049	其他烧烤	蒙肥羊烤羊腿（翡翠郡店）	蒙肥羊烤羊腿 
4286389	其他烧烤	羊羊乐碳烤羊腿	羊羊乐碳烤羊腿 
4286654	其他烧烤	土耳其烤肉饭	土耳其烤肉饭 
4287799	其他火锅	顺风肥牛	顺风肥牛 
4288004	其他火锅	乾矿老火锅（复地上城店）	乾矿火锅 
4288434	其他西餐	巴西烤肉	巴西烤肉 
93205	其他火锅	元一火锅（石羊桥店）	元一火锅 
1548010	其他火锅	陶陶居饼家（提货点）	陶陶居 
4289599	其他火锅	一品布衣汤烤锅王	一品布衣汤烤锅王 
4290004	其他西餐	伊赛牛排e族（德化街店）	伊赛牛排e族 
4290044	其他火锅	福成肥牛	福成肥牛 
4290799	其他自助餐	鑫铭苑自助海鲜烤肉火锅新玛特店（新玛特店）	鑫铭苑自助海鲜烤肉火锅新玛特店 
4291494	其他火锅	红晶晶韩式炭火烤肉（吉祥店）	红晶晶韩式烤肉 
4292414	其他火锅	姥家大锅台总店（城垣路）	姥家大锅台 
4292434	其他西餐	凡塔斯自助牛排餐厅（宁德万达店）	凡塔斯牛排 
4292699	其他火锅	山城老火锅	山城老火锅 
4292704	其他火锅	一鼎一火锅	一鼎一火锅 
2427363	其他西餐	经典世家牛排	经典世家牛排 
4293094	其他日本菜	三石料理（至尊店）	三石料理 
4293539	其他烧烤	方燕烤猪蹄（江桥万达店）	方燕烤猪蹄 
4294064	其他火锅	黔乡牧人	黔乡牧人 
51332846	其他烧烤	草原烤羊腿（沙湾店）	草原烤羊腿 
4294769	其他烧烤	华宇兄弟电器维修（景山店）	华宇兄弟电器维修 
4294894	其他火锅	战锅策创意火锅餐厅	战锅策创意火锅餐厅 
4294994	其他火锅	老阿婆公馆火锅	老阿婆公馆火锅 
4295059	其他火锅	皇城老妈火锅（长风西街店）	皇城老妈火锅 
4295474	其他烧烤	呼伦贝尔碳烤羊腿	呼伦贝尔烤羊腿 
4296324	其他火锅	刘一锅	刘一锅筋头巴脑 
4296349	其他西餐	艾比客（棋盘山店）	艾比客 
4296764	其他火锅	庐州虾们香辣虾（摩尔广场店）	庐州虾们香辣虾 
4296794	其他火锅	重庆鸡公煲（菜园店）	重庆鸡公煲 
2539828	其他烧烤	韩釜宫自助烤肉城	韩釜宫 
4298064	其他西餐	安妮公主意大利冰淇淋主题西餐厅	安妮公主 
4298234	其他烧烤	完美生活烤肉	完美生活 
4298804	其他火锅	渝香渔火锅店	渝香渔火锅店 
4299109	其他烧烤	兄弟龙虾	兄弟龙虾 
5445377	其他烧烤	乐山刘记烧烤（武侯区生活广场店）	乐山刘记烧烤 
4299709	其他火锅	黔乡牧人	黔乡牧人 
4299884	其他火锅	黔乡牧人烫皮羊肉火锅	黔乡牧人 
5061223	其他自助餐	西赛德自助烤肉（金石滩店）	西赛德自助烤肉 
4300879	其他火锅	皇城根涮肉	皇城根 
4302859	其他火锅	晋何辣妹子（九丰路店）	晋何辣妹子 
4303479	其他烧烤	牧羊人炭火烤羊腿	牧羊人烧烤 
4303544	其他火锅	川老板火锅城	川老板火锅 
953053	其他西餐	豪佳香	豪佳香牛排人文咖啡馆 
4305004	其他火锅	过锅瘾（汇珑店）	过锅瘾三汁焖锅 
4305034	其他烧烤	喜相逢烤吧（黄厝路店）	喜相逢烤吧 
4305049	其他西餐	塞纳左岸（仟坤国际店）	塞纳左岸 
4305409	其他火锅	苦瓜煮鱼（五一新店）	苦瓜煮鱼 
4305414	其他火锅	天府捞火锅城	天府捞火锅城 
4305704	其他火锅	百味鸡煲	百味鸡煲 
4306199	其他烧烤	青岛扎啤城	青岛扎啤 
2378591	其他火锅	密友甲哺涮涮锅	密友甲哺 
4307774	其他烧烤	牧羊人烤羊腿	牧羊人烧烤 
4308184	其他西餐	华莱士（青田鹤城店）	华莱士 
4308194	其他火锅	重庆秦妈火锅（高新名俊店）	秦妈火锅 
4308569	其他火锅	故乡味	故乡味 
4308949	其他西餐	法国保伯丽咖啡	法国保伯丽咖啡 
4310989	其他日本菜	三上（城西银泰店）	三上日本料理 
4311059	其他火锅	台湾水晶泡泡锅	台湾水晶泡泡锅 
4312439	其他火锅	红枫寨瓦香鸡	红枫寨瓦香鸡 
5353990	其他自助餐	维多利亚咖啡	维多利亚咖啡 
