mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
6203432	10	11	东北饺子馆（商业西街店）
6203447	2165	2110	曼果甜品站
6203457	10	1952	风羊肉汤
6203462	30	1998	鸿福楼蒸饺菜馆
6203467	249	179	飛雲齋
6203472	249	179	零食多（影山店）
6203487	10	11	午餐的烦恼
6203497	10	2109	巴氏鲜奶吧（代县点）
6203522	10	2109	北方风味
6203532	249	256	健利来绿豆饼
6203567	2165	13	仙踪阁冰激淋
6203582	229	2003	香客来
6203597	30	1998	龙盛酒楼
6203602	2165	13	中街冷饮批发配送
6203617	10	2109	太真美食
6203627	10	11	味锦轩大众餐厅
6203657	10	2082	利峰饺子
6203667	175	2007	欧瑞大耳朵黑猪馆
6203682	10	11	上海香酥鸡柳
6203687	257	665	丫丫果园
6203702	30	1911	徐二美食大排档
6203737	10	11	曼可基
6203742	2164	2046	梅园土菜馆
6203772	309	1848	阿堡仔炸鸡汉堡
6203792	229	2032	特色巫山烤鱼
6203812	2164	2045	旭日家常菜
6203837	10	11	富贵快餐
6203867	10	183	永济水饺扯面
6203887	10	11	二十四味餐厅
6203932	255	258	十三月食品（合瓦路店）
6203942	230	230	微观食代
6203952	315	220	太阳部落烤串坊
6203967	10	11	安徽牛肉板面
6204007	10	2087	燊燊涮吧
6204042	309	26	圣德克
6204052	10	11	花时间休闲餐厅（南京金尚餐馆连锁）
6204072	2164	223	十里泉王家驴肉馆
6204087	10	11	四句包子
6204107	201	244	海底捞火锅(大兴星城商厦店)
6204142	315	220	赵家烧烤
6204147	10	1953	沙县瓦罐汤
6204157	303	303	百吉美食城（大学北路店）
6204177	249	256	美宜佳（7482号店厚街陈屋广场店）
6204217	201	244	老实惠筋头巴脑锅
6204237	255	258	51704（我要吃零食）
6204297	249	12	千品烘焙
6204312	2165	2110	嘻嘻芒果（附中店）
6204357	10	2109	田家菜馆
6204397	319	2121	庭苑
6204457	230	230	湖南湘菜馆
6204497	249	179	大威皇（七中店）
6204512	303	303	姚家庄园
6204522	315	383	于家烧烤
6204567	249	179	百瑞莲手工巧克力吧
6204572	319	2121	旺角
6204577	10	2082	老五饺子馆（北马大街店）
6204612	10	2109	正大炸鸡店（东四店）
6204622	10	11	雪原餐厅
6204632	10	1966	正安蒸米皮
6204637	184	2124	喜梦客餐厅
6204662	2165	1988	尚品咖啡
6204682	175	2007	白胖胖大骨头牛肉锅
6204697	303	303	新美味饭庄
6204702	10	11	萨里瓦比萨饼
6204707	303	303	跨世大酒店
6204712	309	26	NUBA牛巴店（吉林财富店）
6204742	10	2024	乔记煎饼果子
6204757	10	11	沸腾鱼乡
6204767	175	2007	小河有鱼粗粮馆
6204797	229	2003	四川饭店
6204807	249	1900	Mc猫记港式甜品工坊
6204842	10	183	素问四季抻面
6204857	298	298	实惠家常烧菜馆
6204862	10	11	肯德基（绿地金御店）
6204882	30	1911	国宾酒楼
6204917	10	183	君喜面馆
6204922	10	11	六乃喜千味小吃
6204957	10	11	生泰昌
6204962	10	2087	洋鸣麻辣烫
6204967	10	11	昌隆美食城
6204972	249	179	麦之味蛋糕房
6204977	230	230	湘赣餐馆
6204982	315	220	格外亲烧烤
6204997	229	2003	0048香辣虾（灵璧店）
6205022	10	2099	祁叶沙县小吃
6205027	10	11	百基拉美式快餐（浦庄店）
6205042	249	12	红宝石蛋糕（山师店）
6205062	2164	2051	马氏清真饭店
6205077	249	1900	欧阳便利店提货处
6205102	10	183	沙坝面点
6205132	10	2109	96°C果坊
6205157	249	179	洪记恒香（蜂蜜南瓜糕三店）
6205177	10	11	鼎源黄焖鸡米饭
6205202	249	12	巧媳妇蛋糕（良茂店）
6205277	2163	9	昌淼挪威三文鱼（布吉百合星城店）
6205282	309	26	80年代
6205287	2163	9	枫鹭海鲜餐厅
6205302	30	1916	阳澄湖大闸蟹（英协花园店）
6205317	249	179	地下铁（新玛特店）
6205322	10	2020	隆昌四季羊肉汤蹄花汤（川建路店）
6205337	255	660	贾记老味零食（金茂店）
6205357	10	11	添隆美食
6205382	228	228	老山村饭庄
6205447	10	183	今口福洪濑酸菜面（泉州华大店）
6205452	10	2082	千里飘香一绝砂锅&东北水饺
6205472	229	2032	芋儿香美食厨房
6205522	10	251	本合粥店
6205537	229	2003	留川疯（雅意路）
6205557	10	1942	中华正宗南京小笼灌汤包
6205582	10	2109	梦真莜面骨头馆
6205587	184	236	小澎粗粮馆
6205592	184	2124	御敬轩
6205627	229	2001	爱强麻辣香锅
6205632	30	1911	青葱那年70后饭吧（东方世纪城店）
6205637	249	1903	古港奶妈姜撞奶
6205662	249	12	麦香饼店
6205667	175	2005	重庆鸡公煲（职教城店）
6205677	10	11	老滋味菜煎饼（煤建一街店）
6205687	201	244	瑜鲜老火锅
6205702	309	1939	利亚披萨
6205707	30	1905	南北饭店
6205757	230	230	清石小厨
6205762	10	11	红润吊炉饼
6205777	255	258	果真养味（齐鲁商城店）
6205787	249	12	傻妹子糕点屋
6205867	10	11	SUBWAY（赛百味）
6205872	315	220	喜庆烤吧
6205877	10	11	888串店
6205882	229	2003	钟记特色菜馆
6205892	184	2124	金广福食府
6205902	249	12	皇庭西饼屋
6205912	175	2007	东北大锅台
6205927	10	11	一方鸡食府
6205932	229	2003	乡味满堂（韩国城店）
6205942	184	2124	茶缘社
6205987	249	179	爱上水聊吧
6205997	10	11	野风快餐
6206007	309	1848	乐而美汉堡（科大支路店）
6206022	315	383	红火烧烤
6206042	184	2124	野栗王
6206047	229	2003	渝美人香辣虾
6206082	10	2084	湘味大排档
6206112	24	24	香巴拉烤肉
6206122	10	183	许记手抻面馆
6206142	10	11	江南饭店
6206167	24	24	文德华六马布依狗肉（习水分店）
6206177	10	2083	吴抄手（文化宫店）
6206197	249	179	今磨房
6206207	2165	2113	休闲NO.1
6206217	10	2087	艳阳麻辣烫
6206222	315	220	宣威大众无烟烧烤城
6206232	229	2003	香景苑
6206237	315	220	九鲜烤吧
6206257	10	1969	排骨米饭
6206267	10	2109	福建名饺
6206277	10	2084	长风大排档
6206307	315	2044	利鑫烤串
6206342	249	12	爱一刻面包烘焙坊
6206372	201	1932	潮呈汕头牛肉火锅（机场西店）
6206392	319	2119	红都潮汕砂锅粥店
6206427	2165	1988	邂逅咖啡小屋
6206432	10	11	晓晓食尚坊
6206437	10	251	和味亭饺子城
6206442	10	2082	金洁水饺
6206492	249	12	澳美西饼（开元店）
6206522	10	11	梧桐园
6206542	230	230	元龙土菜馆
6206557	307	307	兄弟饭店
6206587	201	1922	天子火锅
6206612	319	2121	鑫源美食
6206637	249	179	避风塘饮品（新家和商业广场店）
6206667	249	179	鸿福园西饼坊
6206717	10	11	王道小吃店
6206777	184	236	泰福临
6206782	229	2002	白雪酸菜鱼（西仓店）
6206787	249	12	俏公主西饼（七中店）
6206797	10	11	全得福·无锡小吃
6206812	175	2007	街边老菜馆
6206822	10	11	超级快餐
6206842	30	1911	竟园阁文化主题餐厅
6206862	2165	2113	卤大师
6206872	23	2042	CoCo壱番屋（连城新天地店）
6206892	30	1911	药膳菜馆
6206912	249	12	欧香台湾面包坊（嘉悦店）
6206927	10	2109	章鱼小丸子
6206987	301	2010	延晟酒楼
6206997	10	2109	疯狂薯条
6207002	229	2003	囍莊酒楼
6207007	300	300	八珍玉食府
6207017	10	11	正宗河间驴肉火烧
6207027	229	2003	乔家重庆鸡公煲
6207037	10	11	大厨妈中式快餐
6207052	2163	9	西店海鲜楼
6207057	10	1966	醋流乡凉皮店
6207072	10	183	苏三白荞面
6207092	10	11	天天快餐
6207097	30	1911	刘家厨房
6207142	10	2109	李记擦鞋
6207157	10	11	乐而美（花园店）
6207177	229	2003	新王朝食府
6207182	309	1940	澳氏经典牛排（中山店）
6207192	2164	2045	盛源饭馆
6207202	231	231	三九家宴
6207212	10	11	台北小栈煲仔饭（蜀南庭院商业街店）
6207217	10	11	鸿运美食城
6207232	201	244	尚德轩火锅
6207237	10	11	桃园居（东北门店）
6207242	229	2003	正宗黔江古镇鸡杂
6207252	201	244	重庆胖儿火锅城
6207282	229	2032	酷鱼传说烤全鱼
6207292	315	383	美特佳特色烤肉
6207372	2163	9	民丰大排挡
6207402	10	2109	淮南牛肉汤（大统华店）
6207417	2165	2110	奶茶部落（新蓝天后街店）
6207467	30	1911	家门口土菜坊
6207472	230	230	苗家酸汤鸡
6207497	2165	2110	大泉北奶茶
6207502	30	1911	四扇门酒楼
6207522	201	244	神水捞
6207547	10	11	麦尔排提花苑快餐厅
6207552	10	11	大荆街美食
6207562	300	300	翰园食府
6207652	249	12	爱华滋面包工坊
6207662	30	1911	紫龙轩食味餐厅
6207667	10	2109	缙云烧饼（佳锋店）
6207677	202	173	大港旺宝国际饭店
6207707	10	11	博瑞食堂
6207717	10	2109	大别山全羊馆（东升街店）
6207742	249	179	开心派对（虹桥店）
6207747	229	2003	湘成
6207767	10	1969	李记排骨米饭
6207787	315	383	得福香
6207817	10	2094	韦家豆花
6207832	10	11	胖哥餐馆
6207842	201	244	俏辣妹自助火锅城
6207867	249	12	思麦特蛋糕
6207887	10	2082	天天水饺
6207902	2164	2045	朋来会家常菜馆
6207917	10	11	四季烧烤
6207922	10	11	巧厨热炒
6207947	10	1953	江西瓦罐养生汤吧
6207977	10	11	QQ之家
6207982	231	231	汉江虾王
6207987	10	11	大鹅岛美食城
6207997	30	1912	相聚楼土菜馆
6208022	249	179	金象蛋糕店（总店）
6208037	10	11	廖真味美食
6208077	2163	9	闽丰渔村
6208117	315	383	古山留一手烤鱼夏溪店（夏溪分店）
6208132	175	2007	聚香阁菜馆（大悦城店）
6208137	30	1911	根据地
6208147	249	179	穗香（城南店）
6208157	10	1950	福鑫源过桥米线
6208187	201	244	刁馋家（新百店）
6208197	10	2109	秦缘西安小吃
6208217	10	11	黄焖鸡米饭陕西油泼面
6208292	230	230	兄弟宴菜馆
6208317	30	1911	关龙酒家
6208322	229	2003	川味农家饭店
6208362	229	2003	二楼鸡公煲
6208367	10	11	百基拉（电大店）
6208372	10	11	晋军美味餐厅
6208382	249	12	亚琪蛋糕
6208422	229	2001	周记麻辣香锅
6208432	10	1973	五福园炸鸡架
6208462	2164	120	渔公馆私房菜
6208482	229	2003	麻辣神锅
6208492	10	2109	刘鸿盛
6208567	249	179	翠圆饼屋
6208587	2163	9	同克渔家
6208592	2165	1988	茗奕轩
6208612	229	2003	80后牛羊开胃粉
6208617	10	11	孝感米酒美食城
6208622	201	244	重庆一品肥牛
6208627	299	299	铁锅一品香
6208652	10	11	我家快餐
6208662	315	220	启娃烧烤
6208682	249	179	爱斯琳（爱斯琳三店）
6208687	175	2007	南方骨里香
6208692	10	2109	大家来找茶
6208702	10	11	天下第一面
6208707	2165	2110	我很懒果汁屋
6208732	2165	13	海之恋冷饮
6208737	2165	2110	优将果园
6208757	10	11	甜楚小吃城
6208782	201	244	鸿福火锅江阙菜
6208792	201	153	街拍串串香
6208837	257	665	水果湖五店
