xp.mt_main_poi_id	xp.mt_poi_cate2_id	xp.mt_poi_cate3_id	xp.poi_name
86613172	201	244	和福顺焖锅（高安旗舰店）
86662584	184	2124	居酒屋・仕出しとくしげ
86708281	23	2042	ろばた居酒屋 鮮場 しゃも次郎
86715092	184	2124	りんどう居酒屋
86740745	184	2124	居酒屋春
86746808	229	2001	黄记煌三汁焖锅（车公庙新店）
86777465	184	2124	居酒屋旬
86820208	184	2124	居酒屋あすか
86904709	184	2124	居酒屋蓮
86906803	184	2124	居酒屋るぱん
87009086	184	2124	居酒屋無限
87009934	184	2124	居酒屋市兵衛
87029012	229	2001	黄帝煌三汁焖锅
87092094	184	2124	居酒屋ゆうこ
87104013	184	2124	居酒屋福ちゃん
87109149	184	2124	居酒屋ひょうたん
87128994	184	2124	居酒屋翔々
87142902	201	241	来御来三汁焖锅（吴家山店）
87212336	23	2042	居酒屋 安兵衛（博多店）
87312510	184	2124	居酒屋ひよこ
87386162	23	2042	すし居酒屋大寿
87498551	184	2124	居酒屋きしもと
87536007	184	2124	居酒屋鳳凰
87538993	184	2124	居酒屋たじま
87551284	229	2001	楚爵焖锅休闲主题餐厅
87577174	184	2124	居酒屋Ｋａｋｕｒｅｇａ
87629352	201	244	黄品记三汁焖锅
87641745	184	2124	居酒屋ぼんばぁ
87727864	201	244	黄记煌三汁焖锅（东莲路店）
87766349	184	2124	せなみ・居酒屋
87776769	229	2003	尚品黄记煌三汁焖锅（朝阳兴隆店）
87793453	184	2124	居酒屋醍醐
87969517	23	2042	京都 烏丸 四条 鉄板焼き 野菜 個室 居酒屋 【 TEPPAN DINING KO-KO-RO 】
87977893	184	2124	居酒屋盛
88101213	201	244	黄记煌三汁焖锅（大润发店）
88135683	201	244	百味三汁焖锅（天一店）
88179419	184	2124	居酒屋であい人
88335459	2162	2162	傻儿焖锅
88388243	23	2042	居酒屋
88398205	184	2124	居酒屋爐
88425348	184	2124	居酒屋くろ樹
88493556	201	244	焖侠三汁焖锅
